тн		0.0092278658		1009873
тп		0.0003776591		41330
тр		0.0187636429		2053443
тс		0.0140350097		1535954
тт		0.0007924627		86725
тф		0.0000625015		6840
тх		0.0001692110		18518
тц		0.0006531227		71476
тч		0.0013572882		148538
тш		0.0000609024		6665
тщ		0.0001864446		20404
тъ		0.0001280367		14012
ть		0.0392091525		4290945
фб		0.0000012975		142
фв		0.0000003472		38
фг		0.0000427368		4677
фд		0.0000006396		70
фз		0.0000103347		1131
фк		0.0000097499		1067
фл		0.0005611888		61415
фм		0.0000576860		6313
фн		0.0000607745		6651
фп		0.0000020651		226
фр		0.0017793745		194730
фс		0.0000361394		3955
фт		0.0003092912		33848
фф		0.0004016271		43953
фх		0.0000002924		32
фц		0.0000004112		45
фч		0.0000116962		1280
фш		0.0000038561		422
фщ		0.0000007584		83
фъ		0.0000000274		3
фь		0.0001435159		15706
хб		0.0000030520		334
хв		0.0012580077		137673
хг		0.0000464375		5082
хд		0.0000037738		413
хж		0.0000004752		52
хз		0.0000008133		89
хй		0.0000006031		66
хк		0.0000190703		2087
хл		0.0013523996		148003
хм		0.0004590390		50236
хн		0.0019118887		209232
хп		0.0000045688		500
хр		0.0023358391		255628
хс		0.0005422921		59347
хт		0.0003358726		36757
хф		0.0000019646		215
хх		0.0000224603		2458
хц		0.0000013432		147
хч		0.0000137156		1501
хш		0.0000800824		8764
хъ		0.0000028784		315
хь		0.0000076848		841
цб		0.0000129115		1413
цв		0.0007478801		81846
цг		0.0000012427		136
цд		0.0000078584		860
цз		0.0000425540		4657
цк		0.0009776006		106986
цл		0.0000043861		480
цм		0.0000387985		4246
цн		0.0000187779		2055
цп		0.0000052998		580
цр		0.0000127836		1399
цс		0.0000040297		441
цт		0.0000041759		457
цф		0.0000009869		108
цх		0.0000064877		710
цц		0.0000234563		2567
цч		0.0000004386		48
цш		0.0000213455		2336
цщ		0.0000000457		5
цъ		0.0000002467		27
ць		0.0000013524		148
чб		0.0000003107		34
чв		0.0001449780		15866
чг		0.0000005939		65
чд		0.0000017087		187
чж		0.0000396300		4337
чз		0.0000000274		3
чк		0.0039312362		430224
чл		0.0004954708		54223
чм		0.0000555478		6079
чн		0.0104577751		1144471
чп		0.0000075386		825
чр		0.0005266850		57639
чс		0.0000019829		217
чт		0.0256583743		2807984
чф		0.0000014894		163
чх		0.0000089732		982
чц		0.0000003015		33
чч		0.0000161645		1769
чш		0.0012006141		131392
чщ		0.0000000274		3
чъ		0.0000000274		3
чь		0.0020611066		225562
шб		0.0000016631		182
шв		0.0003437127		37615
шг		0.0000028692		314
шд		0.0000004021		44
шж		0.0000000822		9
шз		0.0000004569		50
шк		0.0050553773		553247
шл		0.0047511393		519952
шм		0.0001489437		16300
шн		0.0035730495		391025
шп		0.0001901362		20808
шр		0.0000401600		4395
шс		0.0000004477		49
шт		0.0009609152		105160
шф		0.0000017087		187
шх		0.0000230726		2525
шц		0.0000529070		5790
шч		0.0000047242		517
шш		0.0000042125		461
шъ		0.0000002376		26
шь		0.0040143797		439323
щб		0.0000001097		12
щд		0.0000003290		36
щж		0.0000000731		8
щк		0.0000001188		13
щм		0.0000030154		330
щн		0.0007287458		79752
щр		0.0000602262		6591
щт		0.0000000548		6
щф		0.0000000640		7
щх		0.0000000548		6
щц		0.0000000274		3
щш		0.0000011879		130
щщ		0.0000000548		6
щь		0.0004312788		47198
